//======================= About page,//=================== Am dudalen
About,Ynghylch
Search UPS Access Point™,Chwilio lleoliadau
Print form,Argraffu ffurflen
//======================= E-shopper page,//==================== Tudalen E-siopwr
Deliver to an UPS Access Point<sup>TM</sup>,Dosbarthu i leoliad Pwynt Mynediad UPS™
Your package will be delivered to an UPS Access Point<sup>TM</sup>,Bydd eich pecyn yn cael ei ddosbarthu i leoliad Pwynt Mynediad UPS™
Open 24 hours,Ar agor 24 awr
The address is required,Mae angen y cyfeiriad
Please select an Access Point to process,Dewiswch Pwynt Mynediad i'w brosesu
Operating Hours,Oriau Gweithredu
Open,Agor
Close,Cau
Monday,Dydd Llun
Closed,Ar gau
Tuesday,Dydd Mawrth
Wednesday,Mercher
Thursday,dydd Iau
Friday,Gwener
Saturday,dydd Sadwrn
Sunday,Sul
Search for the UPS Access Point<sup>TM</sup>,Chwiliwch am leoliadau UPS Access Point™
Near,Gerllaw
Delivered by End of Business Day,Wedi'i gyflwyno erbyn Diwedd y Diwrnod Busnes
"Address line, City, State, Postcode","Llinell cyfeiriad, Dinas, Talaith, Côd Post"
"Address line,City,State,Postcode","Llinell cyfeiriad, Dinas, Talaith, Cod Post"
Use my delivery address,Defnyddiwch fy nghyfeiriad danfon
Search,Chwiliwch
Results,Canlyniadau
Select,Dewiswch
Deliver to Your Address,Anfon i'ch Cyfeiriad
Your package will be delivered to your address,Bydd eich pecyn yn cael ei ddosbarthu i'ch cyfeiriad
UPS SHIPPING,Llongau UPS
Delivery today!,Cyflwyno heddiw!
Delivery next day!,Cyflwyno diwrnod nesaf!
Next two days!,Dau ddiwrnod nesa!
Next three days!,Tridiau nesa!
Next four days!,Pedwar diwrnod nesa!
Next five days!,Pum diwrnod nesaf!
Next six days!,Chwe diwrnod nesaf!
Next seven days!,Y saith diwrnod nesaf!
Next eight days!,Yr wyth diwrnod nesaf!
Next nine days!,Naw diwrnod nesaf!
Next ten days!,Deg diwrnod nesa!
delivered by,danfonir gan
Delivered by,Wedi'i gyflwyno gan
January,Ionawr
February,Chwefror
March,Mawrth
April,Ebrill
May,Mai
June,Mehefin
July,Gorffennaf
August,Awst
September,Medi
November,Tachwedd
October,Hydref
December,Rhagfyr
//======================= Open Order page,//==================== Tudalen Archeb Agored
Open Orders,Archebion Agored
Create Single Shipments,Creu Cludo Sengl
Create Batch Shipments,Creu Cludo Swp
Export All Orders,Allforio Pob Archeb
Export Orders,Gorchmynion Allforio
Archive Orders,Archebion Archif
Order ID,ID archeb
Order Date,Dyddiad Archebu
Product,Cynnyrch
Delivery Address,Cyfeiriad Cyflwyno
Shipping Service,Gwasanaeth Llongau
COD,COD
Action,Gweithred
No results!,Dim canlyniadau!
"Warning - Archiving orders will move your orders in the Archive tab and you can no longer process these orders. Click 'OK' to continue, 'Cancel' to go back to the screen","Rhybudd - Bydd archifo archebion yn symud eich archebion yn y tab Archif ac ni allwch brosesu'r archebion hyn mwyach. Cliciwch 'OK' i barhau, 'Canslo' i fynd yn ôl i'r sgrin"
Cancel,Canslo
//======================= Detail Order page,//==================== Tudalen Archeb Fanwl
Order,Gorchymyn
Order #,Archebu #
Customer,Cwsmer
Order value,Gwerth archeb
Payment status,Statws talu
Access Point,Pwynt mynediad
//======================= Create single shipment page,//==================== Creu tudalen cludo sengl
Process Shipment,Cludo Proses
Ship From,Llong O
Ship To,Llong i
Accessorial service,Gwasanaeth Affeithiwr*
Packaging,Pecynnu
Package #1,Pecyn #1
Package #,Pecyn #
Add package,Ychwanegu pecyn
View estimated shipping fee and delivery date,Gweld y ffi cludo amcangyfrifedig a'r dyddiad dosbarthu
Edit,Golygu
Create Shipment,Creu Cludo
Custom Package,Pecyn Custom
Name,Enw
Address,Cyfeiriad
State,Cyflwr
Note: Insufficient or incorrect address may increase the shipping fee,Nodyn: Gall cyfeiriad annigonol neu anghywir gynyddu'r ffi cludo
Additional Handling,Trin Ychwanegol
Additional handling,Trin Ychwanegol
Quantum View Ship Notification,Hysbysiad Long View Quantum
Quantum View Delivery Notification,Hysbysiad Cyflwyno Quantum View
Residential Address,Cyfeiriad preswyl
Saturday Delivery,Dosbarthiad dydd Sadwrn
Carbon Neutral,Carbon Niwtral
Direct Delivery Only,Dosbarthu Uniongyrchol yn Unig
Declared value,Gwerth datganedig
Signature Required,Angen Llofnod
Adult Signature Required,Angen Llofnod Oedolyn
To Home COD,I COD Cartref
Cancel Editing,Canslo Golygu
To Access Point COD,I Pwynt Mynediad COD
Orders to be processed,Gorchmynion i'w prosesu
The name is not empty,Nid yw'r enw yn wag
The address is required,Mae angen y cyfeiriad
The postal code is empty or invalid,Mae'r cod post yn wag neu'n annilys
The city is not empty,Nid yw'r ddinas yn wag
Invalid email format,Fformat e-bost annilys
The phone is not empty,Nid yw'r ffôn yn wag
Some of the data you entered is not valid. Please check again.,Nid yw peth o'r data a roesoch yn ddilys. Gwiriwch eto.
There are errors connecting to the UPS API servers. Please try again.,Mae gwallau wrth gysylltu â gweinyddwyr API UPS. Trio eto os gwelwch yn dda.
//======================= Shipment page,//==================== Tudalen Cludo
Shipments,Cludo
"By selecting any order in this shipment tab, I agree to the <a href='javascrip:void(0);' id='term-condition'>Terms and Conditions.</a>","Trwy ddewis unrhyw drefn yn y tab cludo hwn, rwy'n cytuno i'r <a href='javascrip:void(0);' id='term-condition'>Telerau ac Amodau.</a>"
UPS Tracking Terms and Conditions,Telerau ac Amodau Tracio UPS
"NOTICE: The UPS package tracking systems accessed via this service (the &quot; Tracking Systems &quot;) and tracking information obtained through this service (the &quot; Information &quot;) is the private property of UPS. UPS authorizes you to use the Tracking Systems solely to track shipments tendered by or for you to UPS for delivery and for no other purpose. Without limitation, you are not authorized to make the Information available on any web site or otherwise reproduce, distribute, copy, store, use or sell the Information for commercial gain without the express written consent of UPS. This is a personal service, thus your right to use the Tracking Systems or Information is non-assignable. Any access or use that is inconsistent with these terms is unauthorized and strictly prohibited.","HYSBYSIAD: Eiddo preifat UPS yw'r systemau tracio pecynnau UPS y ceir mynediad iddynt drwy'r gwasanaeth hwn (y ""Systemau Tracio"") a gwybodaeth olrhain a geir drwy'r gwasanaeth hwn (y &quot; Information&quot;). Mae UPS yn eich awdurdodi i ddefnyddio'r Systemau Tracio dim ond i olrhain llwythi a dendro gennych chi neu ar eich cyfer chi i UPS i'w danfon ac nid at unrhyw ddiben arall. Heb gyfyngiad, nid ydych wedi'ch awdurdodi i sicrhau bod y Wybodaeth ar gael ar unrhyw wefan nac fel arall atgynhyrchu, dosbarthu, copïo, storio, defnyddio neu werthu'r Wybodaeth er budd masnachol heb ganiatâd ysgrifenedig penodol UPS. Mae hwn yn wasanaeth personol, felly nid oes modd neilltuo eich hawl i ddefnyddio'r Systemau Tracio neu Wybodaeth. Mae unrhyw fynediad neu ddefnydd sy'n anghyson â'r telerau hyn yn anawdurdodedig ac wedi'i wahardd yn llym."
Download PDF Label,Download Label PDF
Download ZPL Label,Lawrlwythwch Label ZPL
Export Shipment Data,Allforio Data Cludo
Cancel Shipments,Canslo Cludo
ID Shipment,Cludo ID
Tracking Number,Rhif tracio
Date,Dyddiad
Estimated Shipping Fee,Ffi Llongau Amcangyfrifedig
Shipment #,Cludo #
Order #ID reference,Archebwch # cyfeirnod ID
Package details,Manylion pecyn
Are you sure you want to cancel selected shipment(s)?,Ydych chi'n siŵr eich bod am ganslo'r llwyth(au) a ddewiswyd?
Shipment Canceled,Cludo wedi'i Ganslo
Archived Orders,Archebion wedi'u Harchifo
//======================= Additional,//==================== Ychwanegol
Packaging:,Pecynnu:
Access Point display setting:,Gosodiad arddangos Pwynt Mynediad UPS:
Number of Access Points visible to customers:,Nifer y Pwyntiau Mynediad sy'n weladwy i gwsmeriaid:
Display all the Access Points in range of:,Arddangos yr holl Bwyntiau Mynediad mewn ystod o:
Title:,Teitl:
Company:,Cwmni:
Email:,E-bost:
Phone &nbsp number:,Rhif ffôn&nbsp:
Phone &nbsp;number:,Rhif ffôn&nbsp;
Address type:,Math o gyfeiriad:
Address:,Cyfeiriad:
Postal code:,Côd Post:
City:,Dinas:
Country:,Gwlad:
Account Name:,Enw cyfrif:
Account Number:,Rhif cyfrif:
Account number:,Rhif cyfrif:
Invoice Number:,Rhif anfoneb:
Invoice Amount:,Swm yr Anfoneb:
Currency:,Arian cyfred:
Invoice date:,Dyddiad yr anfoneb:
Name:,Enw:
Phone:,Ffôn:
Customer:,Cwsmer:
Product:,Cynnyrch:
Shipping service:,Gwasanaeth cludo:
Order value:,Gwerth archeb:
Payment status:,Statws talu:
Access Point:,Pwynt mynediad:
Payment Status:,Statws Talu:
Phone number:,Rhif ffôn:
Package:,Pecyn:
Estimated Shipping fee:,Ffi cludo amcangyfrifedig:
Estimated Shipping Fee:,Ffi Cludo Amcangyfrifedig:
Orders to be processed:,Gorchmynion i'w prosesu:
Order #ID reference:,Archebwch #Cyfeirnod ID:
Package details:,Manylion pecyn:
Tracking number:,Rhif tracio:
Accessorial Service:,Gwasanaeth ategol:
Accessorial service:,Gwasanaeth ategol:
"If you are new to UPS, please refer to the following FAQs for additional information:","Os ydych chi'n newydd i UPS, cyfeiriwch at y Cwestiynau Cyffredin canlynol am wybodaeth ychwanegol:"
VAT Number:,Rhif TAW:
Promo Code:,Cod Hyrwyddo:
Country/Territory:,Gwlad/Tiriogaeth:
End of Business Day,Diwedd Diwrnod Busnes
//==============================Security Enhancement page,
Security Enhancement,Gwella Diogelwch
SECURITY ENHANCEMENTS ACTIVATION,GWEITHREDU GWELLA SICRWYDD
By installing UPS Plugin you gained this convenient option to apply UPS recommended Security Enhancements to your e-shop.By enabling particular security enhancements below you can make your e-shop less vulnerable to some common hackers' attacks.,
"Note, you can keep UPS recommended Security Enhancements disabled if you have already implemented these security measures in other way (by tweaking your web servers configurations properly, by coding own Magento hooks or by using some other plugin that aims to implement the similar enhancements).",Trwy osod UPS Plugin fe wnaethoch chi ennill yr opsiwn cyfleus hwn i gymhwyso Gwelliannau Diogelwch a argymhellir gan UPS i'ch e-siop. Trwy alluogi gwelliannau diogelwch penodol isod gallwch chi wneud eich e-siop yn llai agored i ymosodiadau rhai hacwyr cyffredin.
"Note, you can keep UPS recommended Security Enhancements disabled if you have already implemented these security measures in other way (by tweaking your web servers configurations properly, by coding own Magento hooks or by using some other plugin that aims to implement the similar enhancements).",
Clickjacking Defense,Clickjacking Amddiffyn
"See [wikipedia|https://en.wikipedia.org/wiki/Clickjacking] for more details. If you enable this defense, then UPS plugin will secure your store by communicating framing policy to user's browser through 'X-Frame-Options: Sameorigin' HTTP response header and by injecting 'frame-breaker' java script for legacy browsers.- UPS Plugin can secure your e-shop Front Office pages in accordance with OWASP recommended Clickjacking Defense Cheat Sheet Disable this defense if you wish to enable framing of your e-shop GUI on 3rd party websites; or if you have already implemented this defense differently.","Gweler [wikipedia|https://en.wikipedia.org/wiki/Clickjacking] am ragor o fanylion. Os ydych chi'n galluogi'r amddiffyniad hwn, yna bydd ategyn UPS yn sicrhau eich storfa trwy gyfathrebu'r polisi fframio i borwr y defnyddiwr trwy bennawd ymateb HTTP 'X-Frame-Options: Sameorigin' a thrwy chwistrellu sgript java 'frame-breaker' ar gyfer porwyr etifeddiaeth.- UPS Plugin yn gallu sicrhau eich tudalennau Swyddfa Flaen yr e-siop yn unol â'r Daflen Twyllo Amddiffyniad Clickjacking Defence a argymhellir gan OWASP Analluoga'r amddiffyniad hwn os ydych am alluogi fframio eich GUI e-siop ar wefannau trydydd parti; neu os ydych eisoes wedi gweithredu'r amddiffyniad hwn yn wahanol."
Use X-Frame-Options response header,Defnyddiwch bennyn ymateb X-Frame-Options
Do not use,Peidiwch â defnyddio
Deny,Gwadu
SameOrigin,Yr un Tarddiad
Use frame-killer script:,Defnyddiwch sgript lladd ffrâm:
Use Content-Security-Policy response header,Defnyddiwch bennyn ymateb Cynnwys-Diogelwch-Polisi
frame-ancestors 'none',ffrâm-hynafiaid 'dim'
frame-ancestors 'sefl',ffrâm-hynafiaid 'sefl'
Content Sniffing Prevention,Atal Arogli Cynnwys
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-Content-Type-Options: nosniff","Gweler wikipedia am ragor o fanylion. Os byddwch yn gwirio'r opsiwn hwn, bydd ategyn UPS yn diogelu eich e-siop Swyddfa Flaen y DU trwy gymhwyso <br />X-Content-Type-Options: nosniff"
"HTTP Response Header to all Magento Front Office pages. That will prevent the client's browser (notably Internet Explorer) from MIME-sniffing a response away from the declared content-type. You may not really need this as your users are not supposed to upload any potentially harmful files to your e-shop (e.g. JavaScript instead of an Image). However, it is still good practice to enable this special security header as there is no performance penalty associated with it.","Pennawd Ymateb HTTP i holl dudalennau Swyddfa Flaen Magento. Bydd hynny'n atal porwr y cleient (yn enwedig Internet Explorer) rhag i MIME-sniffing ymateb i ffwrdd o'r datganedig-math cynnwys. Efallai na fydd gwir angen hwn arnoch gan nad yw eich defnyddwyr i fod i uwchlwytho unrhyw ffeiliau a allai fod yn niweidiol i'ch e-siop (e.e. JavaScript yn lle Delwedd). Fodd bynnag, mae'n dal yn arfer da galluogi'r pennawd diogelwch arbennig hwn gan nad oes cosb perfformiad yn gysylltiedig ag ef."
Enables cross-site scripting filters in browsers that support the X-XSS-Protection directive,Yn galluogi hidlwyr sgriptio traws-safle mewn porwyr sy'n cefnogi cyfarwyddeb X-XSS-Protection
"See wikipedia for more details.If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />X-XSS-Protection: '1; mode=block' <br />HTTP response header to all Magento Front Office pages.","Gweler wikipedia am fwy o fanylion. Os byddwch yn gwirio'r opsiwn hwn, bydd ategyn UPS yn diogelu eich e-siop Swyddfa Flaen y DU trwy gymhwyso <br />X-XSS-Protection: '1; mode=bloc' <br />Pennawd ymateb HTTP i holl dudalennau Magento Front Office."
Protect your e-shop website against protocol downgrade attacks and cookie hijacking,Amddiffyn gwefan eich e-siop rhag ymosodiadau israddio protocol a herwgipio cwcis
"See wikipedia for more details If you check this option, UPS plugin will secure your e-shop Front Office by applying <br />Strict-Transport-Security 'max-age=31536000; includeSubDomains' <br />HTTP response header to all Magento Front Office pages.","Gweler wikipedia am ragor o fanylion Os byddwch yn gwirio'r opsiwn hwn, bydd ategyn UPS yn diogelu Swyddfa Flaen eich e-siop trwy wneud cais <br />Strict-Transport-Security 'max-age=31536000; cynnwys pennawd ymateb HTTP <br />SubDomains i holl dudalennau Swyddfa Flaen Magento."
Prevent sensitive pages from caching by browser.,Atal tudalennau sensitif rhag caching gan borwr.
"See OWASP FAQs for more details. If you check this option, UPS plugin will secure the Checkout process by applying <br />Cache-Control: no-cache, no-store<br />Expires: 0 <br />Pragma: no-cache<br />HTTP response headers to the corresponding pages","Gweler Cwestiynau Cyffredin OWASP am ragor o fanylion. Os byddwch yn gwirio'r opsiwn hwn, bydd ategyn UPS yn diogelu'r broses Desg dalu trwy gymhwyso<br />Rheoli Cache: dim storfa, dim storfa <br />Yn dod i ben: 0 <br />Pragma: dim storfa <br /> Penawdau ymateb HTTP i'r tudalennau cyfatebol"
Apply to pages,Gwnewch gais i dudalennau
All,I gyd
Checkout only,Desg dalu yn unig
Data saved successfully.,Data wedi'i gadw'n llwyddiannus.
We couldn't find any records,Ni allem ddod o hyd i unrhyw gofnodion
Please wait…,Arhoswch os gwelwch yn dda…
Archiving Orders,Gorchmynion Archifo
There is no shipping service for the above address,Nid oes gwasanaeth cludo ar gyfer y cyfeiriad uchod
The email is not empty,Nid yw'r e-bost yn wag
The country is not empty,Nid yw'r wlad yn wag
Select all,Dewiswch bob un
Unselect all,Dad-ddewis y cyfan
Do not have label for this Tracking ID,Nid oes gennych label ar gyfer yr ID Olrhain hwn
Print Label or download file.,Argraffu Label neu lawrlwytho ffeil.
"Connection error, try later to install and configure","Gwall cysylltu, ceisiwch yn nes ymlaen i osod a ffurfweddu"
We are unable to void this shipment at this time. You may attempt to void the shipment later. However you will not be billed for this shipment provided that you do not use the shipping label,"Ni allwn ddirymu'r llwyth hwn ar hyn o bryd. Efallai y byddwch yn ceisio gwagio'r llwyth yn ddiweddarach. Fodd bynnag, ni fyddwch yn cael eich bilio am y llwyth hwn ar yr amod nad ydych yn defnyddio'r label cludo"
Estimated Fee,Ffi Amcangyfrif
Shipping fee,Ffi cludo
Poland,Gwlad Pwyl
United Kingdom,Deyrnas Unedig
France,Ffrainc
Germany,Almaen
Italy,Eidal
Netherlands,Iseldiroedd
Spain,Sbaen
Belgium,Gwlad Belg
Shipment Manager,Rheolwr Cludo
Default Package,Pecyn Diofyn
Order Time,Amser Archebu
Time,Amser
Warning,Rhybudd
Error! Package exceeds the maximum allowable size of 400 cm or 157.48 inches (the maximum allowable size calculation = length + 2 * width + 2 * height).,Gwall! Pecyn yn fwy na'r maint mwyaf a ganiateir o 400 cm neu 157.48 modfedd (y cyfrifiad maint mwyaf a ganiateir = hyd + 2 * lled + 2 * uchder).
Access Points Address will be used as an alternative shipping address,Bydd Cyfeiriad Pwyntiau Mynediad yn cael ei ddefnyddio fel cyfeiriad cludo amgen
Ship To (UPS Access Point),Llong i (Pwynt Mynediad UPS)
